Symptoms,Main Category,Subcategory
laryngitis,EENT,Inflammation
bulging eyes,EENT,Exophthalmos
larynx,EENT,Organ
lazy eye,EENT,Amblyopia
earwax build up,EENT,Impaction
stye,EENT,Eyelid Infection
behind the eye (pain or symptom),EENT,Retro-orbital
lacrimation,EENT,Tearing
corneal clouding,EENT,Visual Disturbance
blindness,EENT,Vision Loss
stuff nose (stuffy nose),EENT,Blockage
fullness in ears,EENT,Ear Sensation
blind spot,EENT,Visual Disturbance
tinnitus,EENT,Ear Noise
hoarse voice,EENT,Larynx
blepharitis,EENT,Eyelid Inflammation
colour vision deficiency,EENT,Visual Disturbance
difficulty hearing,EENT,Hearing Loss
colour blindness,EENT,Visual Disturbance
sudden vision loss,EENT,Acute Vision Loss
scotoma,EENT,Visual Field Defect
postnasal drip,EENT,Nasal
hyperacusis,EENT,Hearing Sensitivity
flashing lights in vision,EENT,Visual Phenomena
visual snow,EENT,Visual Phenomena
watering eyes,EENT,Excessive Tearing
photophobia,EENT,Light Sensitivity
astigmatism,EENT,Vision Problem
excess tearing,EENT,Tearing
excess earwax,EENT,Impaction
blurred vision,EENT,Visual Disturbance
lazy eye,EENT,Amblyopia
ear discharge,EENT,Ear Symptom
swollen eyelids,EENT,Edema
increased sensitivity to light,EENT,Photophobia
tearing eyes,EENT,Epiphora
increased sensitivity to sound,EENT,Hyperacusis
epiphora,EENT,Excessive Tearing
hearing loss,EENT,Deafness
photophobia,EENT,Light Sensitivity
sinus pressure,EENT,Sinus
broken nose,EENT,Fracture
larynx,EENT,Organ
acute vision loss,EENT,Visual Disturbance
laryngitis,EENT,Inflammation
lacrimation,EENT,Tearing
epistaxis,EENT,Nosebleed
excessive tearing,EENT,Epiphora
watery eyes,EENT,Excessive Tearing
eye redness,EENT,Red Eye
deafness,EENT,Hearing Loss
eyelid swelling,EENT,Swelling
eyelid problems,EENT,Eyelid
eye twitching,EENT,Myokymia
ear pain,EENT,Otalgia
ear ringing,EENT,Tinnitus
eye pain,EENT,Ocular Pain
eye injuries,EENT,Injury
eye infection,EENT,Infection
earache,EENT,Otalgia
crusting around eyelids,EENT,Eyelid Symptom
eye floaters,EENT,Visual Phenomena
eye flashes,EENT,Visual Phenomena
eye discharge,EENT,Discharge
impaired color vision,EENT,Vision Disturbance
gritty eyes,EENT,Eye Irritation
exophthalmos,EENT,Bulging Eyes
short sightedness,EENT,Myopia
vision loss,EENT,Blindness
voice cracking,EENT or Neurological,Voice Disturbance
twitching eyes,EENT or Neurological,Blepharospasm
impaired depth perception,EENT or Neurological,Vision Disturbance
loss of voice,EENT or Neurological,Aphonia
loss of voice,EENT or Neurological,Aphonia
choking sensation,ENT,Airway Obstruction
choking sensation,ENT,Airway Obstruction
polyuria,Endocrine & Metabolic,Frequent Urination
polyphagia,Endocrine & Metabolic,Excess Hunger
acetone breath,Endocrine & Metabolic,DKA Sign
polydipsia,Endocrine & Metabolic,Excess Thirst
early puberty,Endocrine & Metabolic,Hormonal
high cholesterol,Endocrine & Metabolic,Hyperlipidemia
increased hair growth,Endocrine & Metabolic,Hirsutism
excessive hair growth,Endocrine & Metabolic,Hirsutism
excessive hunger,Endocrine & Metabolic,Polyphagia
polydipsia,Endocrine & Metabolic,Excess Thirst
excessive thirst,Endocrine & Metabolic,Polydipsia
low potassium,Endocrine & Metabolic,Hypokalemia
polyphagia,Endocrine & Metabolic,Excess Hunger
hypokalemia,Endocrine & Metabolic,Low Potassium
hypoglycaemia,Endocrine & Metabolic,Low Blood Sugar
hyperuricemia,Endocrine & Metabolic,Uric Acid
high blood sugar,Endocrine & Metabolic,Hyperglycemia
polyuria,Endocrine & Metabolic,Frequent Urination
hyperkalemia,Endocrine & Metabolic,High Potassium
hyperglycaemia,Endocrine & Metabolic,High Blood Sugar
low blood sugar,Endocrine & Metabolic,Hypoglycemia
hirsutism,Endocrine & Metabolic,Excess Hair
low blood sugar,Endocrine & Metabolic,Hypoglycemia
high uric acid level,Endocrine & Metabolic,Hyperuricemia
high potassium,Endocrine & Metabolic,Hyperkalemia
cold intolerance,Endocrine & Metabolic,Temperature Regulation
low potassium,Endocrine & Metabolic,Hypokalemia
abnormally frequent urination,Endocrine & Metabolic,Polyuria
delayed puberty,Endocrine & Metabolic,Hormonal
euthanasia suicide,Ethical/Administrative,End-of-Life
cardiopulmonary resuscitation decisions,Ethical/Administrative,Resuscitation
cardiopulmonary resuscitation decisions,Ethical/Administrative,Resuscitation
incontinence of feces,Gastrointestinal,Incontinence
proctalgia,Gastrointestinal,Rectal Pain
lactose intolerance,Gastrointestinal,Food Intolerance
intestinal gas,Gastrointestinal,Flatulence
vomiting,Gastrointestinal,Emesis
indigestion,Gastrointestinal,Upper GI
darkening of stool,Gastrointestinal,Stool Color
stomach burning,Gastrointestinal,Epigastric Pain
loss of bowel control,Gastrointestinal,Incontinence
heartburn,Gastrointestinal,Reflux
loose stools,Gastrointestinal,Diarrhea
heartburn reflux,Gastrointestinal,Reflux
stool incontinence,Gastrointestinal,Incontinence
stomach cramps,Gastrointestinal,Pain
hematemesis,Gastrointestinal,Vomiting Blood
stomach ache,Gastrointestinal,Pain
hematochezia,Gastrointestinal,Blood in Stool
bowel incontinence,Gastrointestinal,Incontinence
vomiting bug,Gastrointestinal,Infectious
acid reflux,Gastrointestinal,Reflux
anal pain,Gastrointestinal,Anorectal Pain
stomach bug,Gastrointestinal,Infectious
anorexia,Gastrointestinal,Appetite Disturbance
diarrhea,Gastrointestinal,Bowel Symptom
blood in stool,Gastrointestinal,Hematochezia
gas,Gastrointestinal,Flatulence
green stool,Gastrointestinal,Stool Color
farting,Gastrointestinal,Flatulence
winter vomiting bug,Gastrointestinal,Infectious (Norovirus)
loss of bowel control,Gastrointestinal,Incontinence
loose stools,Gastrointestinal,Diarrhea
flatulence,Gastrointestinal,Gas
abdominal bloating,Gastrointestinal,Distension
food intolerance,Gastrointestinal,Intolerance
proctalgia,Gastrointestinal,Rectal Pain
abdominal distension,Gastrointestinal,Distension
bleeding from the bottom,Gastrointestinal,Rectal Bleeding
abdominal pain,Gastrointestinal,Pain
frequent bowel movements,Gastrointestinal,Increased Frequency
throwing up,Gastrointestinal,Vomiting
gallbladder pain,Gastrointestinal,RUQ Pain
bloating,Gastrointestinal,Distension
lactose intolerance,Gastrointestinal,Food Intolerance
black tarry stools,Gastrointestinal,Melena
abdominal cramping,Gastrointestinal,Pain
upper abdominal pain,Gastrointestinal,Pain
constipation,Gastrointestinal,Bowel Symptom
early satiety,Gastrointestinal,Fullness
tummy ache,Gastrointestinal,Pain
diarrhoea,Gastrointestinal,Bowel Symptom
itchy bottom,Gastrointestinal/Anorectal,Pruritus Ani
itchy anus,Gastrointestinal/Anorectal,Pruritus Ani
unintentional weight gain,General & Constitutional,Weight
unintentional weight loss,General & Constitutional,Weight
breath,General & Constitutional,Breath Symptom
easy fatigability,General & Constitutional,Fatigue
tiredness,General & Constitutional,Fatigue
cramping pain,General & Constitutional,Pain
appetite changes,General & Constitutional,Nonspecific
shivering,General & Constitutional,Chills
shaking chills,General & Constitutional,Rigors
lethargy,General & Constitutional,Fatigue
sensitivity to heat,General & Constitutional,Temperature Sensitivity
sensitivity to cold,General & Constitutional,Temperature Sensitivity
hyperhidrosis,General & Constitutional,Excess Sweating
lack of appetite,General & Constitutional,Appetite
increased appetite,General & Constitutional,Hyperphagia
malignant,General & Constitutional,Descriptor
poor appetite,General & Constitutional,Reduced
low body temperature,General & Constitutional,Hypothermia
fever,General & Constitutional,High Temperature
feeling sick,General & Constitutional,Nonspecific
fatigue,General & Constitutional,Tiredness
cold sweats,General & Constitutional,Sweating
lethargy,General & Constitutional,Fatigue
exhaustion,General & Constitutional,Fatigue
excessive sweating,General & Constitutional,Hyperhidrosis
chills,General & Constitutional,Cold Sensation
lumps,General & Constitutional,Swelling
lassitude,General & Constitutional,Fatigue
edema,General & Constitutional,Swelling
lassitude,General & Constitutional,Fatigue
weariness,General & Constitutional,Fatigue
high temperature,General & Constitutional,Fever
swelling of the legs,General & Constitutional,Edema
swelling,General & Constitutional,Edema
weight changes,General & Constitutional,Weight
benign,General & Constitutional,Descriptor
swollen ankles,General & Constitutional,Edema
poor appetite,General & Constitutional,Reduced
swelling of arms,General & Constitutional,Edema
weight loss,General & Constitutional,Weight
swollen arms,General & Constitutional,Edema
thirst,General & Constitutional,Polydipsia
sweating,General & Constitutional,Hyperhidrosis
lumps,General & Constitutional,Swelling
body aches,General & Constitutional,Pain
body odour,General & Constitutional,Odour
chills,General & Constitutional,Cold Sensation
abnormal sweating,General & Constitutional,Excessive or Abnormal Sweating
low body temperature,General & Constitutional,Hypothermia
malignant,General & Constitutional,Descriptor
lack of appetite,General & Constitutional,Appetite
hiccups,General & Constitutional,Involuntary Spasm
decreased urine output,Genitourinary,Oliguria
low urine output,Genitourinary,Oliguria
hematuria,Genitourinary,Blood in Urine
urine leakage on coughing,Genitourinary,Stress Incontinence
incontinence of urine,Genitourinary,Incontinence
blood in urine,Genitourinary,Hematuria
proteinuria,Genitourinary,Protein in Urine
kidney pain,Genitourinary,Flank Pain
urinary hesitancy,Genitourinary,Voiding Difficulty
urinary dribbling,Genitourinary,Incontinence
urine odor,Genitourinary,Odor
trouble urinating,Genitourinary,Voiding Difficulty
dysuria,Genitourinary,Painful Urination
proteinuria,Genitourinary,Protein in Urine
kidney pain,Genitourinary,Flank Pain
weak urine stream,Genitourinary,Voiding Difficulty
dark urine,Genitourinary,Urine Color
urinary incontinence,Genitourinary,Incontinence
cloudy urine,Genitourinary,Urine Appearance
burning sensation on urination,Genitourinary,Dysuria
urinary urgency,Genitourinary,Frequency
low urine output,Genitourinary,Oliguria
frequent urination,Genitourinary,Frequency
urinary retention,Genitourinary,Voiding Difficulty
urine discoloration,Genitourinary,Color
stress incontinence,Genitourinary,Incontinence
foamy urine,Genitourinary,Urine Appearance
burning sensation on urination,Genitourinary,Dysuria
bruising easily,Hematological,Bleeding Tendency
thrombophilia,Hematological,Coagulation
clots,Hematological,Thrombosis
abnormal bleeding,Hematological or Bleeding Symptom,Unspecified
blood clots,Hematological or Vascular,Thrombus
yellow eye,Hepatic or Hemolysis,Jaundice
jaundice,Hepatic or Hemolysis,Yellowing
jaundice,Hepatic or Hemolysis,Yellowing
swollen lymph nodes,Immune-Related,Lymphadenopathy
enlarged lymph nodes,Immune-Related,Lymphadenopathy
swollen glands,Immune-Related,Lymphadenopathy
lymphoedema,Immune-Related or Vascular,Edema
lymphoedema,Immune-Related or Vascular,Edema
chemical burn,Injury or Wound,Chemical
cat bite,Injury or Wound,Animal Bite
chemical burn,Injury or Wound,Chemical
head injury,Injury or Wound,Trauma
insect bite,Injury or Wound,Insect
acid burn,Injury or Wound,Chemical Burn
tick bite,Injury or Wound,Animal
animal bites,Injury or Wound,Trauma
burns,Injury or Wound,Thermal Injury
stings,Injury or Wound,Insect
dog bites,Injury or Wound,Animal Bite
black eye,Injury or Wound,Trauma to Eye
whiplash,Injury or Wound,Neck
burns,Injury or Wound,Thermal Injury
human bites,Injury or Wound,Bite
graze,Injury or Wound,Abrasion
cut,Injury or Wound,Laceration
frostbite,Injury or Wound,Cold Injury
cat bite,Injury or Wound,Animal Bite
abnormal liver enzymes,Lab/Diagnostic Finding,Liver
potassium test,Lab/Diagnostic Finding,Electrolyte
low hemoglobin count,Lab/Diagnostic Finding,Anemia
protein in urine,Lab/Diagnostic Finding,Proteinuria
magnesium test,Lab/Diagnostic Finding,Electrolyte
leukocytosis,Lab/Diagnostic Finding,High WBC
vitamins,Lab/Diagnostic Finding,Nutritional
low hemoglobin count,Lab/Diagnostic Finding,Anemia
protein in urine,Lab/Diagnostic Finding,Proteinuria
potassium test,Lab/Diagnostic Finding,Electrolyte
leukopenia,Lab/Diagnostic Finding,Low WBC
leukocytosis,Lab/Diagnostic Finding,High WBC
low neutrophil count,Lab/Diagnostic Finding,Neutropenia
lactate dehydrogenase test,Lab/Diagnostic Finding,Blood
low white blood cell count,Lab/Diagnostic Finding,Leukopenia
lymphocytosis,Lab/Diagnostic Finding,High Lymphocytes
leukopenia,Lab/Diagnostic Finding,Low WBC
magnesium test,Lab/Diagnostic Finding,Electrolyte
phosphate test,Lab/Diagnostic Finding,Electrolyte
lactate dehydrogenase test,Lab/Diagnostic Finding,Blood
lymphocytosis,Lab/Diagnostic Finding,High Lymphocytes
low neutrophil count,Lab/Diagnostic Finding,Neutropenia
phosphate test,Lab/Diagnostic Finding,Electrolyte
low white blood cell count,Lab/Diagnostic Finding,Leukopenia
high blood protein,Lab/Diagnostic Finding,Blood Chemistry
high eosinophils,Lab/Diagnostic Finding,White Cell Count
transferrin test,Lab/Diagnostic Finding,Iron Studies
erythrocytosis,Lab/Diagnostic Finding,High RBC
high liver enzymes,Lab/Diagnostic Finding,Hepatic
uric acid level,Lab/Diagnostic Finding,Metabolic
iron binding capacity,Lab/Diagnostic Finding,Iron Studies
eosinophilia,Lab/Diagnostic Finding,Blood Count
high hemoglobin count,Lab/Diagnostic Finding,Blood
high red blood cell count,Lab/Diagnostic Finding,Blood
high lymphocyte count,Lab/Diagnostic Finding,White Cell Count
urine albumin to creatinine ratio,Lab/Diagnostic Finding,Proteinuria
hemoglobin count,Lab/Diagnostic Finding,Blood
high white blood cell count,Lab/Diagnostic Finding,Leukocytosis
cholesterol,Lab/Diagnostic Finding,Lipid
elevated liver enzymes,Lab/Diagnostic Finding,Hepatic
cholesterol,Lab/Diagnostic Finding,Lipid
claustrophobia,Mental Health,Phobia
postpartum psychosis,Mental Health,Psychosis
postnatal depression,Mental Health,Depression
apathy,Mental Health,Depressive/Apathetic Symptom
skin picking disorder,Mental Health,Excoriation
induced illness (factitious disorder?),Mental Health,Factitious
anhedonia,Mental Health,Depressive Symptom
loss of interest,Mental Health,Anhedonia
health anxiety,Mental Health,Anxiety
auditory hallucinations,Mental Health,Psychotic Symptom
anxiety,Mental Health,Anxiety or Stress
postpartum psychosis,Mental Health,Psychosis
bulimia,Mental Health,Eating Disorder
postnatal depression,Mental Health,Depression
generalised anxiety disorder,Mental Health,Anxiety
hypersexuality,Mental Health,Impulse Control
bulimia,Mental Health,Eating Disorder
lack of emotional response,Mental Health,Flat Affect
delusions,Mental Health,Psychotic Symptom
hair pulling disorder,Mental Health,Trichotillomania
pica,Mental Health,Eating Disorder
tearfulness,Mental Health,Emotional
phobias,Mental Health,Anxiety
low mood,Mental Health,Depression
fluctuating mood,Mental Health,Mood Swings
hallucinations,Mental Health,Psychotic Symptom
flat affect,Mental Health,Emotional Blunting
anorexia nervosa,Mental Health,Eating Disorder
eating disorders,Mental Health,Eating Disorder
phobias,Mental Health,Anxiety
hearing voices,Mental Health,Auditory Hallucination
binge eating disorder,Mental Health,Eating Disorder
pica,Mental Health,Eating Disorder
irritability,Mental Health,Mood
emotional detachment,Mental Health,Apathy/Dissociation
self harm,Mental Health,Behavior
selective mutism,Mental Health,Anxiety
body dysmorphic disorder,Mental Health,Anxiety/Obsessive
agitation,Mental Health,Anxiety or Hyperarousal
low mood,Mental Health,Depression
trichotillomania,Mental Health,Hair Pulling
loss of interest,Mental Health,Anhedonia
depersonalization,Mental Health,Dissociation
depression,Mental Health,Depressive Disorder
lack of emotional response,Mental Health,Flat Affect
feelings of impending doom,Mental Health,Anxiety/Panic
suicidal ideation,Mental Health,Suicidal Thoughts
low sex drive,Mental Health or Endocrine,Libido
loss of libido,Mental Health or Endocrine,Sexual
loss of libido,Mental Health or Endocrine,Sexual
decreased libido,Mental Health or Endocrine,Sexual Disturbance
low sex drive,Mental Health or Endocrine,Libido
short attention span,Mental Health or Neuro,ADHD
fidgeting,Mental Health or Neurological,Restlessness
visual hallucinations,Mental Health or Neurological,Hallucination
impaired judgment,Mental Health or Neurological,Executive Function
hyperactivity,Mental Health/Neurological,ADHD Symptom
tendonitis,Musculoskeletal,Inflammation
temporomandibular disorder,Musculoskeletal,TMJ
jaw pain,Musculoskeletal,TMJ or Dental
tailbone pain,Musculoskeletal,Coccyx Pain
joint stiffness,Musculoskeletal,Stiffness
plantar fasciitis,Musculoskeletal,Foot
hand pain,Musculoskeletal,Hand Pain
joint swelling,Musculoskeletal,Swelling
mallet finger,Musculoskeletal,Injury
coccyx pain,Musculoskeletal,Spinal Pain
bone fragility,Musculoskeletal,Osteopenia
hand problems,Musculoskeletal,Hand Issues
joint pain,Musculoskeletal,Arthralgia
costochondritis,Musculoskeletal,Chest Wall Pain
ankle problems,Musculoskeletal,Joint Issue
knee cartilage damage,Musculoskeletal,Injury
flat feet,Musculoskeletal,Foot Deformity
loss of muscle mass,Musculoskeletal,Atrophy
fingure problems (typo: finger),Musculoskeletal,Digital Issues
finger pain,Musculoskeletal,Digital Pain
back stiffness,Musculoskeletal,Spinal Stiffness
lower back pain,Musculoskeletal,Back Pain
toe pain,Musculoskeletal,Foot
lumbago,Musculoskeletal,Back Pain
wrist pain,Musculoskeletal,Joint Pain
upper back pain,Musculoskeletal,Spine
plantar fasciitis,Musculoskeletal,Foot
wrist problems,Musculoskeletal,Joint
mallet finger,Musculoskeletal,Injury
elbow pain,Musculoskeletal,Joint Pain
trigger finger,Musculoskeletal,Tendon
back pain,Musculoskeletal,Spinal Pain
tmd (temporomandibular disorder),Musculoskeletal,TMJ
foot pain,Musculoskeletal,Foot Pain
knee pain,Musculoskeletal,Joint Pain
knee problem,Musculoskeletal,Joint Issue
knock knees,Musculoskeletal,Alignment
kyphosis,Musculoskeletal,Spinal Curvature
thigh problems,Musculoskeletal,Leg
dislocated kneecap,Musculoskeletal,Dislocation
dislocated shoulder,Musculoskeletal,Dislocation
thumb pain,Musculoskeletal,Hand
bunions,Musculoskeletal,Foot Deformity
bone pain,Musculoskeletal,Pain
leg cramps,Musculoskeletal,Cramp
leg pain,Musculoskeletal,Extremity Pain
buttock pain,Musculoskeletal,Gluteal Pain
frozen shoulder,Musculoskeletal,Shoulder Stiffness
calf problems,Musculoskeletal,Lower Leg Pain
tennis elbow,Musculoskeletal,Inflammation
bursitis,Musculoskeletal,Inflammation
hamstring injury,Musculoskeletal,Injury
bone spur,Musculoskeletal,Exostosis
shin splints,Musculoskeletal,Lower Leg
broken collarbone,Musculoskeletal,Fracture
scoliosis,Musculoskeletal,Spinal Curvature
buttock pain,Musculoskeletal,Gluteal Pain
broken toe,Musculoskeletal,Fracture
bursitis,Musculoskeletal,Inflammation
bunions,Musculoskeletal,Foot Deformity
knee cartilage damage,Musculoskeletal,Injury
ankle pain,Musculoskeletal,Joint Pain
knee pain,Musculoskeletal,Joint Pain
knee problem,Musculoskeletal,Joint Issue
broken finger or thumb,Musculoskeletal,Fracture
knock knees,Musculoskeletal,Alignment
kyphosis,Musculoskeletal,Spinal Curvature
stiff joints,Musculoskeletal,Joint Stiffness
sholuder problems (shoulder?),Musculoskeletal,Shoulder
broken hip,Musculoskeletal,Fracture
broken leg,Musculoskeletal,Fracture
leg pain,Musculoskeletal,Extremity Pain
leg cramps,Musculoskeletal,Cramp
shoulder impingement,Musculoskeletal,Shoulder
shoulder pain,Musculoskeletal,Shoulder
shoulder stiffness,Musculoskeletal,Shoulder
ankle instability,Musculoskeletal,Joint Instability
broken wrist,Musculoskeletal,Fracture
loss of muscle mass,Musculoskeletal,Atrophy
shin pain,Musculoskeletal,Lower Leg
strains,Musculoskeletal,Injury
broken ribs,Musculoskeletal,Fracture
heel pain,Musculoskeletal,Foot Pain
arm pain,Musculoskeletal,Extremity Pain
achy joints,Musculoskeletal,Joint Pain
joint swelling,Musculoskeletal,Swelling
lumbago,Musculoskeletal,Back Pain
lower back pain,Musculoskeletal,Back Pain
jaw pain,Musculoskeletal,TMJ or Dental
broken arm,Musculoskeletal,Fracture
bone swelling,Musculoskeletal,Swelling
hip pain,Musculoskeletal,Joint Pain
broken ankle,Musculoskeletal,Fracture
joint stiffness,Musculoskeletal,Stiffness
joint pain,Musculoskeletal,Arthralgia
arthralgia,Musculoskeletal,Joint Pain
calf problems,Musculoskeletal,Lower Leg Pain
flank pain,Musculoskeletal or Genitourinary,Side Pain
groin pain,Musculoskeletal or Reproductive,Groin
foot problems,Musculoskeletal or Skin,Foot Issues
subcutaneous nodules,Musculoskeletal or Skin,Lesion
jaw claudication,Musculoskeletal or Vascular,Jaw Pain
jaw claudication,Musculoskeletal or Vascular,Jaw Pain
protruding tongue,Neur,
protruding tongue,Neur,
loss of sensation,Neurological,Sensory
prosopagnosia,Neurological,Face Blindness
unresponsive episodes,Neurological,Altered Consciousness
loss of smell,Neurological,Anosmia
shaking,Neurological,Tremor
loss of balance,Neurological,Coordination
loss of facial expression,Neurological,Facial Nerve
loss of feeling,Neurological,Sensory Loss
loss of speech,Neurological,Aphasia
loss of taste,Neurological,Ageusia
tongue numbness,Neurological,Oral Sensation
Weakness,Neurological,Muscular
shaking hands,Neurological,Tremor
sensation loss,Neurological,Sensory
lack of coordination,Neurological,Ataxia
seizure,Neurological,Fits
trouble speaking,Neurological,Speech Disturbance
anosmia,Neurological,Smell Disturbance
twitching muscles,Neurological,Fasciculations
trigeminal neuralgia,Neurological,Nerve Pain
tremor hands,Neurological,Tremor
balance difficulty,Neurological,Coordination
confusion,Neurological,Altered Mental Status
dysgeusia,Neurological,Taste Disturbance
essential tremor,Neurological,Tremor
tremor at rest,Neurological,Tremor
dysarthria,Neurological,Speech Disorder
face blindness,Neurological,Prosopagnosia
facial droop,Neurological,Facial Nerve
ageusia,Neurological,Taste Disturbance
changed sense of smell,Neurological,Smell Disturbance
acute confusion,Neurological,Delirium
fits,Neurological,Seizure
concussion,Neurological,Traumatic Brain Injury
impaired taste,Neurological,Taste Disturbance
disorientation,Neurological,Confusion
changed sense of smell,Neurological,Smell Disturbance
prosopagnosia,Neurological,Face Blindness
poor coordination,Neurological,Ataxia
hyperosmia,Neurological,Smell Sensitivity
delirium,Neurological,Acute Confusion
vertigo,Neurological,Spinning
lack of coordination,Neurological,Ataxia
loss of balance,Neurological,Coordination
hemiparesis,Neurological,Weakness One Side
difficulty speaking,Neurological,Speech Disturbance
loss of facial expression,Neurological,Facial Nerve
loss of feeling,Neurological,Sensory Loss
tension headache,Neurological,Headache
post herpetic neuralgia,Neurological,Shingles Complication
loss of sensation,Neurological,Sensory
loss of smell,Neurological,Anosmia
ataxia,Neurological,Coordination
loss of speech,Neurological,Aphasia
loss of taste,Neurological,Ageusia
altered gait,Neurological,Coordination
arm numbness,Neurological,Nerve/Peripheral
poor coordination,Neurological,Ataxia
sudden confusion,Neurological,Delirium
weakness on one side of body,Neurological,Hemiparesis
amnesia,Neurological,Memory
dizziness,Neurological,Vertigo
altered mental status,Neurological,Altered Consciousness
hand numbness,Neurological,Nerve Symptom
hypogeusia,Neurological,Taste Disturbance
post herpetic neuralgia,Neurological,Shingles Complication
coordination problems,Neurological,Ataxia
foot drop,Neurological,Motor Deficit
prickling,Neurological,Paresthesia
unsteady gait,Neurological,Ataxia
lightheadedness,Neurological,Syncope or Presyncope
forgetfulness,Neurological,Cognition
headache,Neurological,Pain
frontal headache,Neurological,Headache
stml (*possibly short term memory loss?),Neurological,Memory
aphonia,Neurological,Speech/Voice Disturbance
aphasia,Neurological,Language Disturbance
tingling,Neurological,Paresthesia
tics,Neurological,Involuntary Movement
cluster headache,Neurological,Headache
brain fog,Neurological,Cognitive Impairment
decreased coordination,Neurological,Ataxia
prickling,Neurological,Paresthesia
hand tremors,Neurological,Tremor
lightheadedness,Neurological,Syncope or Presyncope
tingling extremities,Neurological,Paresthesia
loss of consciousness,Neurological or Cardiovascular,Syncope
postural dizziness,Neurological or Cardiovascular,Orthostatic
syncope,Neurological or Cardiovascular,Fainting
postural dizziness,Neurological or Cardiovascular,Orthostatic
loss of consciousness,Neurological or Cardiovascular,Syncope
fainting,Neurological or Cardiovascular,Syncope
generalised weakness,Neurological or Constitutional,Weakness
language difficulties,Neurological or Developmental,Aphasia or Dyslexia
language difficulties,Neurological or Developmental,Aphasia or Dyslexia
diplopia,Neurological or EENT,Double Vision
double vision,Neurological or EENT,Diplopia
visual aura,Neurological or EENT,Migraine
frequent blinking,Neurological or EENT,Tic/Blink
difficulty swallowing,Neurological or EENT,Dysphagia
visual disturbances,Neurological or EENT,Vision
lump in throat,Neurological or ENT,Globus
lump in throat,Neurological or ENT,Globus
globus sensation,Neurological or ENT,Sensation
globus,Neurological or ENT,Throat Sensation
swallowing difficulty,Neurological or GI,Dysphagia
swallowing pills,Neurological or GI,Dysphagia
swallowing problems,Neurological or GI,Dysphagia
dysphagia,Neurological or GI,Difficulty Swallowing
problems swallowing pills,Neurological or GI,Dysphagia
problems swallowing pills,Neurological or GI,Dysphagia
yawning excessively,Neurological or General,Fatigue
stuttering,Neurological or Mental Health,Speech
phonophobia,Neurological or Mental Health,Sound Sensitivity
difficulty concentrating,Neurological or Mental Health,Attention
phonophobia,Neurological or Mental Health,Sound Sensitivity
arm weakness,Neurological or Musculoskeletal,Extremity Weakness
low muscle tone,Neurological or Musculoskeletal,Hypotonia
sciatica,Neurological or Musculoskeletal,Nerve Pain
trouble walking,Neurological or Musculoskeletal,Gait
atrophy,Neurological or Musculoskeletal,Wasting
lockjaw,Neurological or Musculoskeletal,Trismus
hypotonia,Neurological or Musculoskeletal,Low Muscle Tone
low muscle tone,Neurological or Musculoskeletal,Hypotonia
weak grip,Neurological or Musculoskeletal,Weakness
lockjaw,Neurological or Musculoskeletal,Trismus
tripping while walking,Neurological or Musculoskeletal,Coordination
trismus,Neurological or Musculoskeletal,Lockjaw
unintentional drooling,Neurological or Pediatric,Sialorrhea
excessive drooling,Neurological or Pediatric,Hypersalivation
insensitivity,Neurological or Psychological,Reduced Sensation
burning feet,Neurological or Vascular,Burning Sensation
thoracic outlet syndrome,Neurological or Vascular,Shoulder/Arm
burning feet,Neurological or Vascular,Burning Sensation
chronic pain,Pain-Related,Chronic
growing pains,Pediatric,Musculoskeletal
limping in children,Pediatric,Musculoskeletal
enuresis,Pediatric,Incontinence
febrile seizures,Pediatric,Neurological
limping in children,Pediatric,Musculoskeletal
colic,Pediatric,Infant GI Distress
cradle cap,Pediatric,Skin-Related
bedwetting,Pediatric,Enuresis
inability to concentrate urine,Renal,Concentration Defect
blood in semen,Reproductive,Hematospermia
foreskin problems,Reproductive,Penile
galactorrhea,Reproductive,Breast Discharge
priapism,Reproductive,Painful Erection
late periods,Reproductive,Menstrual Delay
lactation unrelated to childbirth,Reproductive,Galactorrhea
breast pain,Reproductive,Breast Symptom
prostate problems,Reproductive,Genitourinary
tight foreskin,Reproductive,Phimosis
genital problems,Reproductive,
phimosis,Reproductive,Foreskin
impotence,Reproductive,Erectile Dysfunction
postmenopausal bleeding,Reproductive,Bleeding
breast swelling,Reproductive,Breast Symptom
breast tenderness,Reproductive,Breast Symptom
testis,Reproductive,Organ
testicular pain,Reproductive,Pain
low sperm count,Reproductive,Infertility
testicular lumps,Reproductive,Testicular
testicle pain,Reproductive,Testicular
irregular periods,Reproductive,Menstrual
irregular menstrual cycle,Reproductive,Menstrual
gynaecomastia,Reproductive,Male Breast Tissue
gynecomastia,Reproductive,Male Breast Tissue
heavy periods,Reproductive,Menstrual
infertility,Reproductive,Subfertility
pms,Reproductive,Premenstrual
phimosis,Reproductive,Foreskin
erectile dysfunction,Reproductive,Sexual Function
lactation unrelated to childbirth,Reproductive,Galactorrhea
dry orgasm,Reproductive,Sexual Function
prostate problems,Reproductive,Genitourinary
uterine bleeding,Reproductive,Bleeding
uterine cramps,Reproductive,Pain
vaginal bleeding,Reproductive,Bleeding
vaginal bleeding after sex,Reproductive,Bleeding
vaginal bleeding between periods,Reproductive,Bleeding
vaginal discharge,Reproductive,Discharge
bleeding after the menopause,Reproductive,Bleeding
vaginal dryness,Reproductive,Hormonal
vaginal itching,Reproductive,Itching
vaginal odor,Reproductive,Odor
